run,iteration,fitness_max,fitness_min,fitness_median,fitness_mean,fitness_std,sure_count
1,185,0.004953011404722929,1.424839865649119e-06,0.0002684082428459078,0.0011469402816146612,0.001727059599943459,0
1,186,0.004953285679221153,7.739445209153928e-07,0.0001861773052951321,0.0009287589928135276,0.0015296019846573472,0
1,187,0.004953285679221153,4.869812983088195e-06,0.0007156107458285987,0.0016847680089995265,0.0019376348936930299,0
1,188,0.004953011404722929,2.193342197642778e-06,0.0003570987901184708,0.0012950096279382706,0.0018204363295808434,0
1,189,0.004953011404722929,5.587198756984435e-07,7.939390343381092e-05,0.0010158634977415204,0.0015884340973570943,0
1,190,0.004953285679221153,1.9368948755982274e-07,0.00011166818876517937,0.000889163464307785,0.00155695213470608,0
1,191,0.004953011404722929,2.583123830390832e-07,0.00013592117466032505,0.000827156996820122,0.001395289902575314,0
1,192,0.004953011404722929,4.14221085520694e-06,0.0001897067850222811,0.0009827163303270936,0.001571339089423418,0
1,193,0.004953332245349884,5.558686098083854e-06,0.0008880155510269105,0.0014138519763946533,0.0016503852093592286,0
1,194,0.004953257739543915,9.678757351139211e-07,0.00016739500279072672,0.0011979839764535427,0.001793012721464038,0
1,195,0.004953285679221153,8.658050774101866e-07,0.00013755520922131836,0.0008287240634672344,0.0013947759289294481,0
1,196,0.004953285679221153,1.6971822560662986e-06,0.0004512897285167128,0.0012441589497029781,0.0017346658278256655,0
1,197,0.004953011404722929,1.5052206663312973e-06,0.00017052183102350682,0.0009741596877574921,0.0015665327664464712,0
1,198,0.004953012801706791,1.7424947600375162e-06,0.0004964597173966467,0.001185262924991548,0.0015851081116124988,0
1,199,0.0059363460168242455,8.841131489134568e-07,0.0002759807393886149,0.0015678852796554565,0.001982883783057332,0
1,200,0.005936782341450453,3.0242899811128154e-06,0.0009738964727148414,0.0016238787211477757,0.001816685893572867,0
1,201,0.0059363460168242455,9.888226486509666e-07,0.0003572801942937076,0.0017580720596015453,0.001958622131496668,0
1,202,0.0059363460168242455,1.198338054564374e-06,0.0010606790892779827,0.0020145897287875414,0.0021245747338980436,0
1,203,0.005936393979936838,2.3055888505041366e-06,0.0006229538121260703,0.0018640193156898022,0.0023897304199635983,0
1,204,0.00593640236184001,5.303346597429481e-07,0.00017660821322351694,0.001116496161557734,0.0018564958591014147,0
1,205,0.0059363460168242455,1.4449663012783276e-06,0.0002835727937053889,0.0008529274491593242,0.001573485671542585,0
1,206,0.005936393979936838,1.225679170602234e-06,0.00032238929998129606,0.0013967329869046807,0.0021517134737223387,0
1,207,0.0059363460168242455,1.4664352647741907e-06,0.00021354133787099272,0.0007546984707005322,0.0015191722195595503,0
1,208,0.005936393979936838,2.498291678421083e-06,0.00017132263747043908,0.0010325309121981263,0.0018551303073763847,0
1,209,0.005936393979936838,2.5270476271543885e-06,0.0005014165653847158,0.001506022410467267,0.0019423760240897536,0
1,210,0.005936648230999708,6.484550567620317e-07,0.0009948817314580083,0.0020161152351647615,0.002252104226499796,0
1,211,0.005936393979936838,1.839386641222518e-06,0.0002933872165158391,0.0013959589414298534,0.0019076145254075527,0
1,212,0.0059363460168242455,1.204225327455788e-06,0.0005397127824835479,0.0017151437932625413,0.002058092039078474,0
1,213,0.0059363460168242455,4.6402433326875325e-06,0.0008829018916003406,0.001539077260531485,0.0017582596046850085,0
1,214,0.005936648230999708,2.0990908069506986e-06,0.0010853889398276806,0.0018787726294249296,0.0020337910391390324,0
1,215,0.0059363460168242455,1.7047502751665888e-06,0.0005731063429266214,0.001976035302504897,0.002448328072205186,0
1,216,0.005936782341450453,2.1472415028256364e-06,0.00016917684115469456,0.0014146867906674743,0.0021011929493397474,0
1,217,0.005936393979936838,3.6661651847680332e-06,0.0003126189112663269,0.0014908596640452743,0.001981416018679738,0
1,218,0.005936393979936838,2.7959724775428185e-06,0.00013373502588365227,0.0012018991401419044,0.0020157690159976482,0
1,219,0.00593640236184001,1.998599827857106e-06,0.000179905429831706,0.0012192893773317337,0.0018561355536803603,0
1,220,0.005936648230999708,2.0165946352790343e-06,0.0005903955898247659,0.001717849401757121,0.0020940550602972507,0
1,221,0.005936648230999708,3.9119211692195677e-07,0.00022855120187159628,0.0014275155263021588,0.0020758321043103933,0
1,222,0.0059363460168242455,4.204550350550562e-06,0.00040331773925572634,0.0016322911251336336,0.0021996432915329933,0
1,223,0.005936393979936838,2.138606873813842e-07,0.0008490681066177785,0.0018543362384662032,0.0020560231059789658,0
1,224,0.0059363460168242455,2.7380824576539453e-06,0.0008758853655308485,0.002339709550142288,0.0025033941492438316,0
1,225,0.00593640236184001,1.898136815725593e-06,0.000418343668570742,0.0015441556461155415,0.0020211434457451105,0
1,226,0.00593640236184001,4.25539553816634e-07,0.00011911798355868086,0.0011175733525305986,0.0019289302872493863,0
1,227,0.00593640236184001,1.0086341717396863e-06,0.00022784176690038294,0.0010764726903289557,0.001674434170126915,0
1,228,0.005936648230999708,2.2789809008827433e-06,0.00039044517325237393,0.0013253875076770782,0.0019978743512183428,0
1,229,0.005936393979936838,1.017331555885903e-06,0.00011182448361068964,0.0009929861407727003,0.001679076929576695,0
1,230,0.0059363460168242455,3.360453320055967e-07,0.00025305766030214727,0.0012613864382728934,0.0017651523230597377,0
